INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Ribeira do Amparo 2926509 699,342
Ribeira do Pombal 2926608 807,137
Ribeirão do Largo 2926657 1.222,153
Rio de Contas 2926707 1.052,302
Rio do Antônio 2926806 986,990
Rio do Pires 2926905 889,359
Rio Real 2927002 675,911
Rodelas 2927101 2.575,088
Ruy Barbosa 2927200 2.128,936
Salinas da Margarida 2927309 148,327
Salvador 2927408 706,799
Santa Bárbara 2927507 338,574
Santa Brígida 2927606 848,873
Santa Cruz Cabrália 2927705 1.550,791
Santa Cruz da Vitória 2927804 250,035
Santa Inês 2927903 356,193
Santa Luzia 2928059 785,193
Santa Maria da Vitória 2928109 1.890,695
Santa Rita de Cássia 2928406 6.071,116
Santa Teresinha 2928505 710,313
Santaluz 2928000 1.597,202
Santana 2928208 1.999,407
Santanópolis 2928307 250,027
Santo Amaro 2928604 518,260
Santo Antônio de Jesus 2928703 259,213
Santo Estêvão 2928802 365,141
São Desidério 2928901 14.819,585
São Domingos 2928950 265,375
São Felipe 2929107 197,898
São Félix 2929008 95,502
São Félix do Coribe 2929057 846,123
São Francisco do Conde 2929206 266,631
Área Territorial :
UF – Bahia – BA - 29
MUNICÍPIO CODMUNIC ÁREA (km²)
São Gabriel 2929255 1.156,798
São Gonçalo dos Campos 2929305 293,989
São José da Vitória 2929354 53,395
São José do Jacuípe 2929370 369,229
São Miguel das Matas 2929404 207,446
São Sebastião do Passé 2929503 549,425
Sapeaçu 2929602 125,582
Sátiro Dias 2929701 974,549
Saubara 2929750 158,933
Saúde 2929800 499,722
Seabra 2929909 2.825,016
Sebastião Laranjeiras 2930006 2.004,185
Senhor do Bonfim 2930105 816,697
Sento Sé 2930204 12.871,039
Serra do Ramalho 2930154 2.677,366
Serra Dourada 2930303 1.441,545
Serra Preta 2930402 536,892
Serrinha 2930501 568,405
Serrolândia 2930600 373,762
Simões Filho 2930709 192,163
Sítio do Mato 2930758 1.709,762
Sítio do Quinto 2930766 651,958
Sobradinho 2930774 1.322,661
Souto Soares 2930808 1.095,850
Tabocas do Brejo Velho 2930907 1.550,518
Tanhaçu 2931004 1.341,793
Tanque Novo 2931053 825,943
Tanquinho 2931103 209,026
Taperoá 2931202 408,576
Tapiramutá 2931301 663,870
Teixeira de Freitas 2931350 1.153,791
Teodoro Sampaio 2931400 277,766
Teofilândia 2931509 317,982
Teolândia 2931608 288,272
Terra Nova 2931707 198,626
Tremedal 2931806 1.779,422
Tucano 2931905 2.801,292
Uauá 2932002 2.950,274
Ubaíra 2932101 762,404
Ubaitaba 2932200 221,753
Ubatã 2932309 332,985
Uibaí 2932408 515,662
Umburanas 2932457 1.812,741
Una 2932507 1.159,525
Urandi 2932606 895,926
Uruçuca 2932705 337,705
Utinga 2932804 717,344
Valença 2932903 1.190,381
Valente 2933000 356,895
Várzea da Roça 2933059 549,339
Várzea do Poço 2933109 220,414
Várzea Nova 2933158 1.165,165
Varzedo 2933174 167,003
Vera Cruz 2933208 252,759
Vereda 2933257 828,700
Vitória da Conquista 2933307 3.204,257
Wagner 2933406 415,819
Wanderley 2933455 3.043,408
Wenceslau Guimarães 2933505 661,792
Xique-Xique 2933604 5.671,439
Área Territorial :
UF – Bahia – BA - 29
MUNICÍPIO CODMUNIC ÁREA (km²)
