Código Município Completo,Município,Nome_Município,latitude,longitude,altitude,Microrregião Geográfica,UF,Mesorregião Geográfica
1301704,1704,Humaitá,-7.5122249506113903,-63.026698021928304,55.017451999999999,13,13,4
1301803,1803,Ipixuna,-7.05098011443721,-71.694418060308408,156.32796200000001,4,13,2
1301852,1852,Iranduba,-3.2810538776069,-60.193388166130696,43.223117999999999,7,13,3
1301902,1902,Itacoatiara,-3.27210185127523,-58.878786358682298,34.364901000000003,9,13,3
1301951,1951,Itamarati,-6.4377993486191807,-68.247917435978209,112.652164,4,13,2
1302009,2009,Itapiranga,-2.7418427523288402,-58.034545883966203,69.268709000000001,9,13,3
1302108,2108,Japurá,-1.8808448587030002,-66.996903494641288,69.840525,2,13,1
1302207,2207,Juruá,-3.4748895988906798,-66.063041925543388,64.379174000000006,4,13,2
1302306,2306,Jutaí,-2.74464644685786,-66.7713275466878,62.144424999999998,3,13,2
1302405,2405,Lábrea,-7.26194655332705,-64.794773027520009,57.507314000000001,12,13,4
1302504,2504,Manacapuru,-3.2982780354675501,-60.6205894458706,26.965541999999999,7,13,3
1302553,2553,Manaquiri,-3.4290796693526202,-60.458881306374501,29.481121000000002,7,13,3
1302603,2603,Manaus,-2.9661675083881001,-60.210530344003601,13.82175,7,13,3
1302702,2702,Manicoré,-5.8132052611881306,-61.299248408850794,44.346313000000002,13,13,4
1302801,2801,Maraã,-1.8664368773012499,-65.574283703164113,47.135936999999998,2,13,1
1302900,2900,Maués,-3.3864279262110601,-57.7150343867525,24.058941999999998,10,13,3
1303007,3007,Nhamundá,-2.1889837668968997,-56.7167699133376,1,10,13,3
1303106,3106,Nova Olinda do Norte,-3.8875928319113799,-59.093074026043297,12.073148,9,13,3
1303205,3205,Novo Airão,-2.6234324590276299,-60.948810707828997,21.79964,1,13,1
1303304,3304,Novo Aripuanã,-5.1226693141961706,-60.3770456690009,29.063562999999998,13,13,4
1303403,3403,Parintins,-2.4561447263229099,-57.282142484336298,19.340077999999998,10,13,3
1303502,3502,Pauini,-7.7140436443221905,-67.002097488528207,118.45831699999999,11,13,4
1303536,3536,Presidente Figueiredo,-1.93194723268809,-59.415207763867997,162.914366,8,13,3
1303569,3569,Rio Preto da Eva,-2.6933015416450998,-59.704738094199001,34.737296000000001,8,13,3
1303601,3601,Santa Isabel do Rio Negro,-0.41669483188186401,-65.020022639512007,34.120877,1,13,1
1303700,3700,Santo Antônio do Içá,-3.1074863091815099,-67.946485143884104,67.357928000000001,3,13,2
1303809,3809,São Gabriel da Cachoeira,1.17433206370256,-66.83035768170059,83.203423000000001,1,13,1
1303908,3908,São Paulo de Olivença,-3.56750243858981,-69.369166109302199,69.738088000000005,3,13,2
1303957,3957,São Sebastião do Uatumã,-2.5701525796778504,-57.870346355834606,16.938658,10,13,3
1304005,4005,Silves,-2.8364274296658398,-58.214800860826898,64.017729000000003,9,13,3
1304062,4062,Tabatinga,-4.2318836756466496,-69.946244375227209,63,3,13,2
1304104,4104,Tapauá,-5.6242235177879403,-63.1870948671802,50.653388999999997,12,13,4
1304203,4203,Tefé,-3.3483724939415098,-64.708419663302706,46.584181999999998,5,13,3
1304237,4237,Tonantins,-2.8610912498354302,-67.776482280695191,66.102264000000005,3,13,2
1304260,4260,Uarini,-2.9836092426921001,-65.155345640155389,42.588236999999999,5,13,3
1304302,4302,Urucará,-2.5366116718403804,-57.759828174595597,17.708773999999998,10,13,3
1304401,4401,Urucurituba,-2.7669331050711703,-57.7608113672404,14.615508,9,13,3
1400027,27,Amajari,3.6521184454459004,-61.420590172663097,107.717395,1,14,1
1400050,50,Alto Alegre,2.9938229476548401,-61.314022390117799,121.741984,1,14,1
1400100,100,Boa Vista,2.8166819191043899,-60.670532672965102,79.828227999999996,1,14,1
1400159,159,Bonfim,3.3502886191103203,-59.878006628909901,86.647022000000007,2,14,1
1400175,175,Cantá,2.60766639841651,-60.602062847611201,82.982799999999997,2,14,1
1400209,209,Caracaraí,1.80387124729759,-61.149176870129999,49.583210999999999,3,14,2
1400233,233,Caroebe,0.87267450718656203,-59.694810073675697,128.834768,4,14,2
1400282,282,Iracema,2.1682147652038699,-61.0522585850197,80.642281999999994,3,14,2
1400308,308,Mucajaí,2.4797722350534199,-60.911518530621599,69.628558999999996,3,14,2
1400407,407,Normandia,3.8829782853018102,-59.635206283568301,102.784875,2,14,1
1400456,456,Pacaraima,4.4752593402122605,-61.147306347149296,912.129909,1,14,1
1400472,472,Rorainópolis,0.93719539359755599,-60.425060493981896,83.796678999999997,4,14,2
1400506,506,São João da Baliza,0.94715742746668108,-59.906044345154399,121.245643,4,14,2
1400605,605,São Luiz,1.0181116273912598,-60.0282667741903,116.345918,4,14,2
1400704,704,Uiramutã,4.5854403875425502,-60.195716148042003,605.79956300000003,2,14,1
1500107,107,Abaetetuba,-1.72346986284591,-48.884403820723101,10.120343,11,15,4
1500131,131,Abel Figueiredo,-4.9513908955313006,-48.396762125794503,192.75665100000001,17,15,6
1500206,206,Acará,-1.9634365,-48.200456431750098,7.3950310000000004,12,15,4
1500305,305,Afuá,-0.15917169377979701,-50.391427589233203,3.1364010000000002,5,15,2
1500347,347,Água Azul do Norte,-6.80494886740538,-50.485274507253102,296.29943500000002,19,15,6
1500404,404,Alenquer,-1.9513975050000001,-54.740862350189602,39.131194999999998,2,15,1
1500503,503,Almeirim,-1.5273388027647801,-52.5768350868127,18.728788000000002,3,15,1
1500602,602,Altamira,-3.2056595099999998,-52.2143763052078,104.748288,15,15,5
1500701,701,Anajás,-0.98445139400870207,-49.945001040544,5.0010539999999999,5,15,2
1500800,800,Ananindeua,-1.36871356826946,-48.372066654168002,26.564442,7,15,3
1500859,859,Anapu,-3.4761046350686802,-51.201621798458099,56.30874,15,15,5
1500909,909,Augusto Corrêa,-1.06993050192948,-46.555938257105204,4.5378579999999999,10,15,4
1500958,958,Aurora do Pará,-2.1293760131944399,-47.556174603612803,41.368893999999997,13,15,4
1501006,1006,Aveiro,-3.6055952592839304,-55.330734389817799,15.451250999999999,14,15,5
1501105,1105,Bagre,-1.88980806036172,-50.221986920613496,1.61555,4,15,2
1501204,1204,Baião,-2.7919618613613597,-49.6727533733253,30.562404999999998,11,15,4
1501253,1253,Bannach,-7.3510721924244002,-50.406047121519499,401.33019999999999,18,15,6
1501303,1303,Barcarena,-1.505767005,-48.627072892515599,7.0765260000000003,7,15,3
1501402,1402,Belém,-1.4598450000000001,-48.4878256874876,8.4714770000000001,7,15,3
1501451,1451,Belterra,-2.6490201694685598,-54.9426747393262,167.56003100000001,2,15,1
1501501,1501,Benevides,-1.361437515,-48.241836450570304,31.613790000000002,7,15,3
1501576,1576,Bom Jesus do Tocantins,-5.0473627043202898,-48.5990399590615,172.27856700000001,17,15,6
1501600,1600,Bonito,-1.36747435687254,-47.305891816863898,54.760632999999999,10,15,4
1501709,1709,Bragança,-1.27515076317818,-46.937946773088001,33.859133999999997,10,15,4
1501725,1725,Brasil Novo,-3.2978037040083703,-52.543441192278806,189.05116799999999,15,15,5
1501758,1758,Brejo Grande do Araguaia,-5.70729615383609,-48.405760422387402,221.292832,20,15,6
1501782,1782,Breu Branco,-3.7781354128786702,-49.569879683285706,95.475014000000002,16,15,6
