id_microrregiao,fk_id_estado,fk_id_mesorregiao,nome
11004,11,1102,Ji-Paraná
42004,42,4201,Joaçaba
25022,25,2504,João Pessoa
42008,42,4202,Joinville
29004,29,2902,Juazeiro
31065,31,3112,Juiz de Fora
35047,35,3512,Jundiaí
13004,13,1302,Juruá
33010,33,3304,Lagos
43021,43,4304,Lajeado-Estrela
41036,41,4110,Lapa
31057,31,3111,Lavras
23028,23,2306,Lavras da Mangabeira
21004,21,2101,Lençóis Maranhenses
35027,35,3506,Limeira
32006,32,3202,Linhares
35019,35,3504,Lins
23022,23,2305,Litoral de Aracati
23001,23,2301,Litoral de Camocim e Acaraú
43035,43,4307,Litoral Lagunar
24016,24,2404,Litoral Nordeste
25020,25,2504,Litoral Norte
27010,27,2703,Litoral Norte Alagoano
21001,21,2101,Litoral Ocidental Maranhense
22002,22,2201,Litoral Piauiense
24019,24,2404,Litoral Sul
25023,25,2504,Litoral Sul
29025,29,2906,Livramento do Brumado
41011,41,4103,Londrina
33016,33,3306,Macacu-Caceribu
33004,33,3302,Macaé
24017,24,2404,Macaíba
16003,16,1602,Macapá
24008,24,2402,Macau
27011,27,2703,Maceió
13013,13,1304,Madeira
13007,13,1303,Manaus
31061,31,3112,Manhuaçu
31038,31,3108,Mantena
15020,15,1506,Marabá
35038,35,3509,Marília
41009,41,4103,Maringá
27009,27,2703,Mata Alagoana
26015,26,2604,Mata Meridional Pernambucana
26013,26,2604,Mata Setentrional Pernambucana
16004,16,1602,Mazagão
51011,51,5102,Médio Araguaia
26010,26,2603,Médio Capibaribe
23011,23,2302,Médio Curu
23024,23,2305,Médio Jaguaribe
21010,21,2103,Médio Mearim
24003,24,2401,Médio Oeste
22005,22,2202,Médio Parnaíba Piauiense
52015,52,5205,Meia Ponte
23004,23,2301,Meruoca
17003,17,1701,Miracema do Tocantins
35062,35,3515,Mogi das Cruzes
35031,35,3507,Mogi Mirim
32004,32,3202,Montanha
43023,43,4305,Montenegro
31007,31,3102,Montes Claros
24001,24,2401,Mossoró
31063,31,3112,Muriaé
31016,31,3104,Nanuque
43012,43,4301,Não-Me-Toque
24018,24,2404,Natal
35007,35,3501,Nhandeara
14002,14,1401,Nordeste de Roraima
51009,51,5102,Norte Araguaia
28003,28,2802,Nossa Senhora das Dores
50008,50,5003,Nova Andradina
33007,33,3303,Nova Friburgo
32002,32,3201,Nova Venécia
35008,35,3501,Novo Horizonte
15001,15,1501,Óbidos
16001,16,1601,Oiapoque
31046,31,3109,Oliveira
35057,35,3515,Osasco
43027,43,4305,Osório
35040,35,3510,Ourinhos
31033,31,3107,Ouro Preto
23017,23,2303,Pacajus
26003,26,2601,Pajeú
41030,41,4108,Palmas
27005,27,2702,Palmeira dos Índios
31029,31,3107,Pará de Minas
31002,31,3101,Paracatu
15017,15,1506,Paragominas
35053,35,3513,Paraibuna/Paraitinga
41038,41,4110,Paranaguá
50006,50,5003,Paranaíba
51008,51,5101,Paranatinga
41001,41,4101,Paranavaí
15019,15,1506,Parauapebas
51004,51,5101,Parecis
13010,13,1303,Parintins
43010,43,4301,Passo Fundo
31047,31,3110,Passos
41027,41,4107,Pato Branco
25004,25,2501,Patos
31020,31,3105,Patos de Minas
31019,31,3105,Patrocínio
24006,24,2401,Pau dos Ferros
29005,29,2902,Paulo Afonso
31036,31,3108,Peçanha
31013,31,3103,Pedra Azul
43033,43,4307,Pelotas
27013,27,2703,Penedo
26005,26,2602,Petrolina
25005,25,2501,Piancó
22013,22,2204,Picos
35045,35,3512,Piedade
21008,21,2102,Pindaré
22014,22,2204,Pio IX
35028,35,3506,Piracicaba
31006,31,3102,Pirapora
35029,35,3507,Pirassununga
52016,52,5205,Pires do Rio
41028,41,4108,Pitanga
31042,31,3109,Piuí
31051,31,3110,Poços de Caldas
41021,41,4105,Ponta Grossa
31060,31,3112,Ponte Nova
52004,52,5202,Porangatu
41007,41,4103,Porecatu
15004,15,1502,Portel
