Código de Distrito Completo,Distrito,Nome_Distrito,latitude,longitude,altitude,Código Município Completo
130195105,05,Itamarati,,,,1301951
130200905,05,Itapiranga,,,,1302009
130210805,05,Japurá,,,,1302108
130210810,10,Vila Bitencourt,,,,1302108
130220705,05,Juruá,,,,1302207
130230605,05,Jutaí,,,,1302306
130240505,05,Lábrea,,,,1302405
130250405,05,Manacapuru,,,,1302504
130255305,05,Manaquiri,,,,1302553
130260305,05,Manaus,,,,1302603
130270205,05,Manicoré,,,,1302702
130280105,05,Maraã,,,,1302801
130290005,05,Maués,,,,1302900
130290010,10,Osório da Fonseca,,,,1302900
130290015,15,Repartimento,,,,1302900
130300705,05,Nhamundá,,,,1303007
130310605,05,Nova Olinda do Norte,,,,1303106
130320505,05,Novo Airão,,,,1303205
130330405,05,Novo Aripuanã,,,,1303304
130340305,05,Parintins,,,,1303403
130340310,10,Mocambo,,,,1303403
130340315,15,Bacuri,,,,1303403
130340320,20,Vila Amazônia,,,,1303403
130340325,25,Tracajá,,,,1303403
130340330,30,Uaicurapá,,,,1303403
130350205,05,Pauini,,,,1303502
130353605,05,Presidente Figueiredo,,,,1303536
130353610,10,Balbina,,,,1303536
130356905,05,Rio Preto da Eva,,,,1303569
130360105,05,Santa Isabel do Rio Negro,,,,1303601
130370005,05,Santo Antônio do Içá,,,,1303700
130370015,15,Alterosa,,,,1303700
130380905,05,São Gabriel da Cachoeira,,,,1303809
130380912,12,Cucui,,,,1303809
130380915,15,Içana,,,,1303809
130380920,20,São Felipe,,,,1303809
130390805,05,São Paulo de Olivença,,,,1303908
130390815,15,Santa Rita,,,,1303908
130395705,05,São Sebastião do Uatumã,,,,1303957
130395710,10,Santana,,,,1303957
130400505,05,Silves,,,,1304005
130406205,05,Tabatinga,,,,1304062
130410405,05,Tapauá,,,,1304104
130420305,05,Tefé,,,,1304203
130423705,05,Tonantins,,,,1304237
130426005,05,Uarini,,,,1304260
130430205,05,Urucará,,,,1304302
130440105,05,Urucurituba,,,,1304401
130440110,10,Augusto Montenegro,,,,1304401
130440115,15,Itapeaçú,,,,1304401
140005005,05,Alto Alegre,,,,1400050
140002705,05,Amajari,,,,1400027
140010005,05,Boa Vista,,,,1400100
140015905,05,Bonfim,,,,1400159
140017505,05,Cantá,,,,1400175
140020905,05,Caracaraí,,,,1400209
140023305,05,Caroebe,,,,1400233
140028205,05,Iracema,,,,1400282
140030805,05,Mucajaí,,,,1400308
140040705,05,Normandia,,,,1400407
140045605,05,Pacaraima,,,,1400456
140047205,05,Rorainópolis,,,,1400472
140050605,05,São João da Baliza,,,,1400506
140060505,05,São Luiz,,,,1400605
140070405,05,Uiramutã,,,,1400704
150010705,05,Abaetetuba,,,,1500107
150010710,10,Beja,,,,1500107
150013105,05,Abel Figueiredo,,,,1500131
150020605,05,Acará,,,,1500206
150020610,10,Guajará-Miri,,,,1500206
150020615,15,Jaguarari,,,,1500206
150030505,05,Afuá,,,,1500305
150034705,05,Água Azul do Norte,,,,1500347
150040405,05,Alenquer,,,,1500404
150050305,05,Almeirim,,,,1500503
150050310,10,Arumanduba,,,,1500503
150050315,15,Monte Dourado,,,,1500503
150060205,05,Altamira,,,,1500602
150060206,06,Cachoeira da Serra,,,,1500602
150060207,07,Castelo dos Sonhos,,,,1500602
150070105,05,Anajás,,,,1500701
150080005,05,Ananindeua,,,,1500800
150085905,05,Anapu,,,,1500859
150090905,05,Augusto Corrêa,,,,1500909
150090910,10,Aturiaí,,,,1500909
150090915,15,Emboraí,,,,1500909
150090920,20,Itapixuna,,,,1500909
150095805,05,Aurora do Pará,,,,1500958
150100605,05,Aveiro,,,,1501006
150100610,10,Brasília Legal,,,,1501006
150100615,15,Pinhel,,,,1501006
150110505,05,Bagre,,,,1501105
150110510,10,Pedreira,,,,1501105
150120405,05,Baião,,,,1501204
150120410,10,Joana Peres,,,,1501204
150120420,20,São Joaquim do Ituquara,,,,1501204
150120430,30,Umarizal do Tocantins,,,,1501204
150125305,05,Bannach,,,,1501253
150130305,05,Barcarena,,,,1501303
150130310,10,Murucupi,,,,1501303
150140205,05,Belém,,,,1501402
150140245,45,Bengui,,,,1501402
150140250,50,Entroncamento,,,,1501402
150140255,55,Guamá,,,,1501402
150140260,60,Icoaraci,,,,1501402
150140265,65,Mosqueiro,,,,1501402
150140267,67,Outeiro,,,,1501402
150140275,75,Sacramenta,,,,1501402
150145105,05,Belterra,,,,1501451
150150105,05,Benevides,,,,1501501
150150110,10,Benfica,,,,1501501
150157605,05,Bom Jesus do Tocantins,,,,1501576
150160005,05,Bonito,,,,1501600
150170905,05,Bragança,,,,1501709
150170910,10,Almoço,,,,1501709
150170915,15,Caratateua,,,,1501709
150170920,20,Nova Mocajuba,,,,1501709
150170930,30,Tijoca,,,,1501709
